sem,Qns,Answer,Discussion,Team,Case Study,Trainer's Notes
Topic 1 Qn 10,10,C,Use service account to allow the VM to connect to BigQuery,1,,
Topic 1 Qn 11,11,B,"Options A & D are a security risks
Option C users still need to set up password, causing slight disruptions.",2,,
Topic 1 Qn 12,12,B,"Key words: 
- analyse data stream
- no existing code
- mix of batch and stream processing

Option A is viable but serves more as a lift and shift. Since the company has no exisiting code, dataflow is more optimal.
Option C is not a processing framework.
Option D requires a complex self-managed pipeline.",2,,
Topic 1 Qn 13,13,C,it is option c since app engine allows users to easily route back to a previous healthy version. a is wrong as the questions states that the issue occurred after the update. b is wrong as the approach to this latency issue should be application level tracing. d is wrong because redeploying known broken code is a major operational anti-pattern ,2,,
Topic 1 Qn 14,14,A,"A > Least Amount of Downtime: Google Cloud persistent disks allow you to resize them while the virtual machine is running. There is no need to shut down the VM, take snapshots, or move data to new disks
Not C: fdisk used for partitioning not resizing",2,,
Topic 1 Qn 15,15,A,"PCI compliance is encrypted payment data, PII, without compromising analysis
B,C isolate resources, does not manage data
D only identifies the respective machines data is still untouched
E creates restricted views but underneath the data is still stored unencrypted
A hashes are the only way that sensitive data can be retained with anonymity",2,,
Topic 1 Qn 16,16,B,6000 - 8500 clicks per second -> Low latency = Bigtable,2,,
Topic 1 Qn 17,17,B,b is correct because it is the native fully managed feature specifically designed for this scenario. a is incorrect as gsutil requires the config file to be in json not xml. c&d are wrong because it is highly inefficient to run the cron job when there is a native function.,2,,
Topic 1 Qn 18,18,B,Dataproc is a fully managed service for running Apache Spark and Apache Hadoop clusters,2,,
Topic 1 Qn 19,19,C,"A is incorrect as it does not resolve input/output bottleneck
B, D and E are incorrect as they involve massive migration and changing entire strategy, at the same time they do not fix the current physical infrastructure bottle neck
C is correct as it significantly increase the input/ouput operations and throughput limits",2,,
Topic 1 Qn 20,20,C,"C is correct- provides low latency performance and can handle 500k writes per second.

A - bigquery used for analysing datasets, datawarehouse not database. 
B - relation database and unsuited for 500k writes per second
D - object storage service for unstrucuted data, not a database that can provide low latency querying",2,,
Topic 1 Qn 21,21,,WHERE IS THIS,3,,
Topic 1 Qn 22,22,,,3,,
Topic 1 Qn 23,23,D,"D tests for canary deployment strategy. 
A and B does not help as it is too vague and does not validate performance. 
C is wrong as it is difficult to replicate the test via increasing the load",3,,
Topic 1 Qn 24,24,D,"Trace is used to find the services that are taking the longest amount of time 
A is wrong as it is a mitigation strategy
B and C  is wrong as it is for monitoring",3,,
Topic 1 Qn 25,25,D,"Option A, B doesn’t help to fix the main issue. Which is to promote to a master.
Option C is for Disaster recovery not High Availablity
",3,,
Topic 1 Qn 26,26,D,"Option A doesn’t help with storing logs
Option B BigQuery is too expensive
Option C only retain data for 6 weeks. Which doesn’t fulfil the requirements of 5 years.
",3,,
Topic 1 Qn 27,27,A,"B is out because cloud VPN doesnt satisfy the bandwidth and performance requirements plus it routes the traffic through the public internet
C -  doesnt solve the networking problem + doesnt provide dedicated connectivity 
D - Google prefers managed service over building it yourself + operational burden
",3,,
Topic 1 Qn 28,28,B,"A- Cloud monitoring alerts are real-time detection & notifications - dont help auditor perform historical analysis
C- Unnecessary complexity 
D - GCS good for long term compliance storage but stores logs as raw unstructured JSON files + does not support SQL queries
",3,,
Topic 1 Qn 29,29,C,"Best practise is to use secret management 
A,  B and D are bad practice, should not be saved in the source code and also should not be a file easily accessible in the repo. 
",3,,
Topic 1 Qn 30,30,C & F,"Cloud Deployment Manager might be unfamiliar to the engineers.A is not the answer as it is not an issue, but a feature of Cloud Deployment Manager.",3,,
Topic 1 Qn 31,31,A,"Google Kubernetes Engine handles the portable auto-scaling and URL routing, Jenkins automates continuous software delivery, and Helm uses dynamic templates to easily deploy separate copies of the application stack.",4,,
Topic 1 Qn 32,32,C,gce is engineered to look for the shutdown-script metadata key during a preemption event.,4,,
Topic 1 Qn 33,33,D,"firewall rules will enforce the traffic flow requirements and restrict the API from talking directly to the Database. The reason why A is wrong is because moving the different tiers to different VPC will not restrict them from talking to each other, you will still need to write firewall rules. For B, although you can do this, it is wrong because the tiers scale independently, this means that you would need to dynamically update the OS firewall rule on every single machine every time a new IP address is added or removed, so this is not practical. And the reason why it is not C, is because you cannot use route to implement a security boundary, so you wont be able to restrict traffic flow between the web and database tier.",4,,
Topic 1 Qn 34,34,ACE,"A - check logs, C - check logs relevant to the new kernel module, E - zoom into time window of the incident. Option B wrong: activity logs track GCP-level events, such as instance creation, metadata changes, API calls. they do not contain OS-level debugging info or kernel/module failure data. Option D wrong: live migration events are infrequent and unlikely to cause a 50% failure rate across multiple servers simlutaneously following a specific kernel module installation. Option F wrong: impractical, time-consuming, requires moving data out of production environment, and does not guarantee the issue (which appears 50% of the time) would be reproducible on local environment. ",4,,
Topic 1 Qn 35,35,AE,cost-effective long-term backup and powerful data analytics.,4,,
Topic 1 Qn 36,36,B,Utilise the deployment pipeline to revert code changes back to a stable version,4,,
Topic 1 Qn 37,37,C,"Using a single Organization maintains top-down central control, while Folders let you group resources by department so each team can manage its own permissions independently.",4,,
Topic 1 Qn 38,38,B,redeploy on app engine,4,,
Topic 1 Qn 39,39,C,"because it encrypts the message using the originating user's private key so this proves that the message was sent by the original user. The reason why its not A, is because there is no cryptographic proof, this means that anyone can tag the message as the original sender. And the reason why it is not B is because it states that it is a shared key, so you wont be able to differentiate the sender and the receiver. Then the reason why it is not D is because SSL is for securing data in transit, so it secures the connection but not the message, you wont be able to prove who sent the message.",4,,
Topic 1 Qn 40,40,B, Latency problem,4,,
https://www.examtopics.com/exams/google/professional-cloud-architect/view/1/,,,,,Q: 41 - 116,
Topic 1 Qn 41,41,C,"A is incorrect: Hashing - 1 way non-reversible ouput
B is incorrect: Need to manage the encryption keys. Add overheads. Authorized users can still decrpyt and see the PII fields
D is incorrect: Error-prone and Difficult to maintain",1,,
Topic 1 Qn 42,42,A,"Option B is wrong because it keeps the file in external object storage, which is not what the question is asking 
Option C and D are wrong because it stores the data temporatrily , so it does not persist across sessions
Option A is right because the data will live inside the persistent home directory",1,,
Topic 1 Qn 43,43,A,"A - Dedicated Interconnect provides physical, direct connections to Google's network in capacities of 10 Gbps or 100 Gbps per link
B  (Cloud VPN) - A single Cloud VPN tunnel has a maximum throughput limit (typically 1.5 Gbps to 3 Gbps depending on whether you use Classic or HA VPN). Furthermore, VPN traffic routes over the public internet.
C & D (Cloud CDN): Cloud Content Delivery Network (CDN) is used for caching and delivering web content closer to users globally.",1, ,
Topic 1 Qn 44,44,B,"Commited use is for a period of 1-3years, training the whole team is better than 1 person.",1,,
Topic 1 Qn 45,45,D,"D - establishes a clear, gate-kept pipeline using Git tags. Changes are isolated and rigorously tested in a dedicated staging environment first. Only after they are fully verified do they receive a production tag to trigger the final deployment.
A & B - Both of these options deploy builds directly to production, exposing unverified code changes to your production infrastructure before validating them in a safe, isolated staging environment.
C - Deploy changes to production for 10% of users does not satisfy the requirement of verifying code changes safely before production deployment.",1,,
Topic 1 Qn 46,46,C,"Option A is wrong being a project viewer grants read-only access to GCP resources but it doesn't automatically grant SSH access to linux instances, an SSH key must still be provided to get SSH access to the linux instances.
Option B is wrong because it will only restart the instances, doing nothing to solve the health check failure
Option D is wrong because of ""autoscaling is disabled"", a useless step that wastes time.

Therefore it's option C.",1,,
Topic 1 Qn 47,47,C,"Option A is wrong because there are other platforms that are certified.
Option B is wrong because GKE can be used.
Option D is wrong because not all services are compliant.",2,,
Topic 1 Qn 48,48,B,the datalab options are wrong since datalab is used for machine learning also it is deprecated and replaced with gemini enterprise agent platform and does not have the anomaly detection that the company requires. b is correct since dataprep requires the data to be in a supported google cloud storage service,2,,
Topic 1 Qn 49,49,C,Top down for policies,2,,
Topic 1 Qn 50,50,C,"C because all others do not provide unique, non-overlapping IP range for your VPC",2,,
Topic 1 Qn 51,51,A,"B is incorrect as App Engine does not automatically detect new files
C is incorrect as you cannot directly upload yaml file through Datastore Admin
D is incorrect as there is no built-in python module to accept index configuration file
A is correct as to manually upload yaml file you have to use CLI(gcloud)",2,,
Topic 1 Qn 52,52,C,"C - MIG provides regional redundancy.
HTTP load balancing - Global load balancing
keeping both instance groups in the same project simplifies management

A & B - compute engine instance, not as reliable or scalable as instance groups
D - multi project setups add overhead with no advantages",2,,
Topic 1 Qn 53,53,D,"Flexible environment is basically a Standard Compute Engine VM. Which gives us more flexibility in configuring the Cloud VPN. + natively run inside VPC
A & C is out. App Engine firewall rules are designed for frontend facing.
Not B because App Engine standard doesn’t  support networking flexibility needed for connecting cloud VPN to a private on-prem",3,,
Topic 1 Qn 54,54,A," Best way to install third party services is to use cloud storage for storing and PGA as it does not require external IP 
C and D is incorrect as it is used to host repositories. B is wrong as it uses firewalls requires a lot of effort.",3,,
Topic 1 Qn 55,55,A,"Rehydrator is the right tool to decrypt and decompress data for upload into GCP
Not B because A. For B dataprep is a visual data cleaning & prep tool
Not C, D as 75TB too large, so cannot use gsutil
 ",3,,
Topic 1 Qn 56,56,A,"Kubectl command Rolling update allows it to be updated in batches. Hence, ensuring there is zero downtime.
Not B, because Instance Group will be updating the Compute Engine VM OS or machine type instead of the container image of the application deployment.
Not C, D because manual deleting and creating will cause a lapse and cause downtime",3,,
Topic 1 Qn 57,57,C,"allowing dataviewer on the projects with data prevents them from running queries which incur cost
Not B and D as it reverses the permissions, BigQuery user and BigQuery jobUser is granted on the projects that contain the data
Not A as BigQuery User role allows users to create datasets inside the project. While BigQuery job User doesn’t allow that
",3,,
Topic 1 Qn 58,58,B,"Not A, Cloud Storage does not traditionally support password protection mechanisms for uploads..
Not C & D, as Cloud Identity requires users to have managed identities within the organization directory.",3,,
Topic 1 Qn 59,59,D,"Under the cloud's shared responsibility model, Google secures the underlying infrastructure, but you are entirely responsible for designing your application to protect user data and meet GDPR rules.",4,,
Topic 1 Qn 60,60,A,favors fully managed services (PaaS) over self-managed infrastructure (IaaS). CloudSQL is enough for one region,4,,
Topic 1 Qn 61,61,B,This is standard practice,4,,
Topic 1 Qn 62,62,B,"the team members already have project experience, upskilling them with a specific role would be best in the long-term",4,,
Topic 1 Qn 63,63,A,cloud function is severless and if there is no activities it will scale down to zero,4,,
Topic 1 Qn 64,64,A,lookup by key is always fastest method in datastore. Querying is less efficient,4,,
Topic 1 Qn 65,65,A,"A is correct: Most secure method. Allows you to automate batch uploads securely from your on-premises servers without leaking the sensitive encryption keys into system logs

B is incorrect: Irrelevant. gcloud config only manages settings for core GCP SDK configurations, not encryption key
C & D are incorrect: gsutil cp command does not natively support an inline --encryption-key flag",1,,
Topic 1 Qn 66,66,B,"A and D is highly manual and roundabout way, C is not low latency. B is the purpose built product for the problem",1,,
Topic 1 Qn 67,67,C,B and D is overkill since we need very little cpu and mem. A is unreliable as it depends on external resources when using startup scripts,1,,
Topic 1 Qn 68,68,B,"GCDS is exactly what they described, perform a sync to provision cloud identities.",1,,
Topic 1 Qn 69,69,B,A and D is out as its CE nothing to do with GKE from the questions and C is a highly manual way to go about the problem.,1,,
Topic 1 Qn 70,70,D,"Read replicas by itself is incomplete so A and C is out, B is also not relevant as they want it for a SPECIFIC zone ",1,,
Topic 1 Qn 71,71,C,"Options A and B are wrong because creating snapshots are more for backups / disaster recovery.
Option D the order is wrong, should be custom image --> template",2,,
Topic 1 Qn 72,72,B,b is correct as network tags helps to apply firewall rules to instances regardless of their ip address which means that any instances spun up by the autoscaler will inherit the correct network access policies. a can work but it is way more complex so very inefficient. c is wrong because dns is not a network security enforcement tool. d does not answer the question as it says to configure the web application to authorise them.,2,,
Topic 1 Qn 73,73,A,"Keyword: scale to not run out of storage, maintain 75% CPU usage, replica lag below 60 secs
C,D do not have automatic storage increase
B has a fixed CPU size of 32 cores which is not cost optimized",2,,
Topic 1 Qn 74,74,D,"keyword: OLAP, terabytes, relational database (Answer D)
C is NoSQL, A and B is for OLTP",2,,
Topic 1 Qn 75,75,C,"A and D are incorrect as it deletes data and proper post-mortem cannot be conducted
B is incorrect as Editor role is not needed here
C is correct as consulting logs will provide the necessary evidence and data",2,,
Topic 1 Qn 76,76,A,"A - authenticate using service accounts attached to a VM with the least privileged roles is the best practice.

B - do not grant IAM roles. Authorised token to hit API end points but do not grant IAM roles.

C - manually handling keys introduces security risks.

D - does not solve the problem of authenticating the authorizing the VM to trigger the cloud function.",2,,
Topic 1 Qn 77,77,D,"Not C, no offer of a Global Cloud VPN Gateway. VPN endpoints route traffic down to their localized physical data centers.
Not B, IAM is for share a single network across different Google Cloud projects.
Not A, VPC Network Peering is used to connect two VPC Google. Plus it’s not a VPN lol",3,,
Topic 1 Qn 78,78,B,"A will delete the table after 45 days. C is wrong as BigQuery will not prune, so it will leave the data indefinitely. D is wrong as it requires creating a script, and is not google recommended practice for it, untraceable",3,,
Topic 1 Qn 79,79,A,"Reason: HPA is used to monitor the CPU usage of pods. C and D are wrong as maxSurge and maxUnavailable are used for rolling updates and have nothing to do with autoscaling the clusters.  
Not B - Although GKE nodes run inside Compute Engine Managed Instance Group, googles best practice is to use cluster autoscaler NOT directly autoscaling the underlying MIG
",3,,
Topic 1 Qn 80,80,B,"Not A, as direct peering doesn’t have SLA and is not a backup for interconnect
Not C or D, even though Transfer Appliance is related to  bulk data transfer for on-premise to GCP, Transfer appliance will take a longer time for disaster recovery
Transfer Appliance is Not recommended for disaster recovery",3,,
Topic 1 Qn 81,81,B,"Reason: not C and D as it uses standard VMS = no cost effective
If we’re gonna disable then discontinue we can just discontinue it instead
Not A as we still have to disable the API to prevent someone from accidentally provisioning it despite being discontinued",3,,
Topic 1 Qn 82,82,C,"shutting down all VMs simulate a zonal outage, which tests if the failover is working correctly
A and B are security related, not resilience testing
D is wrong because it focuses on Cloud SQL only but ignores Rest API & compute layer behavior",3,,
Topic 1 Qn 83,83,D,"Not A as extra effort is needed when Cloud Audit Logging is already there. Will have to connect the data source , A is a reporting tool not auditing tool.
Not B as it is not best practices. Not C as cli commands are not use for auditing but simply troubleshooting tools

",3,,
Topic 1 Qn 84,84,B,,4,,
Topic 1 Qn 85,85,A,"To run any query, load job, or export job in BigQuery, a user must have the roles/bigquery.jobUser role at the project level.  Granting the country-specific analyst groups access at the dataset layer ensures they can query all current and future tables for their country automatically.",4,,
Topic 1 Qn 86,86,B,"because for customer session state we need to handle fast reading and writing of unstructured data, and it must survive for several days even if the user is offline. So we need persistent storage, and memcache provides high-speed in-memory caching while backing it up to Cloud Datastore (which is now known as Firestore). Then we use Lifecycle-managed Cloud Storage to automatically transition the logs to the archive storage class. Why its not A, C and D, is because local SSDs are physically attached to the server hosting the VM and are ephemeral, meaning that if the VM suddenly stop or crash, all the data on the local SSD will be permanently lost. ",4,,
Topic 1 Qn 87,87,A,"stateful allows the hsotnames to remain consistent. Option B wrong: controlling access, nothing to do with pod naming or networking. Option C wrong: does not survive pod recreation. Option D wrong: persistent volumes are needed for stateful but it does manage the hostnames. ",4,,
Topic 1 Qn 88,88,A,"you want more user requests to point to the exact same cache key, removing the protocol https and http is regarded as 2 objects ",4,,8
Topic 1 Qn 89,89,B,Now called Cloud Monitoring and Cloud Logging,4,,
Topic 1 Qn 90,90,B,App Engine has this feature built in. The other options are overly complex or irrelevant.,4,,
Topic 1 Qn 91,91,A,"FW rules with lower priority no will be evaluated 1st.
A is correct: Priority 100 rule to allow AD traffic will be evaluated 1st followed by priority 1000 deny all rule 

B is incorrect: Priority 100 will be evaluated 1st denying all traffic for all instances, taking predence over the priority 1000 allow rule for AD
C & D are incorrect: 
-GCP does not have ""implied deny egress rule"" The default implied egress rule is ALLOW ALL (lowest priority 65535).  
-You can still explicitly set the deny egress rule to deny all instead of relying on implied rules",1,,
Topic 1 Qn 92,92,D,"ABC about performance, does not improve the results",1,,
Topic 1 Qn 93,93,A,"Need to deploy the application on GKE, hence C and D are out as they use Compute Engine. Answer is A as Ingress resource is on layer 7 application layer while Service resource of type LoadBalancer is on layer 4",1,,
Topic 1 Qn 94,94,B,"HTTPS = Application Load balancer with allows for creation of URL map via forwarding, C and D is proxy LB",1,,
Topic 1 Qn 95,95,B,"It is the only error handling approach out of the four. A and C is more on performance whilst D is unreliable, too slow and incomplete",1,,
Topic 1 Qn 96,96,B,Deployment Manager is GCP's managed approach as compared to gcloud scripts while Stackdriver/Monitoring is the tool for monitoring. Activity logs is for logging.,1,,
Topic 1 Qn 97,97,D,"Options B and C are wrong because it is still only regional.
Option A is possible also.",2,,
Topic 1 Qn 98,98,C,option is c as it is the most efficient. a & d are very inefficient while b stores the data indefinitely when it needs to be deleted as soon as regulations allow,2,,
Topic 1 Qn 99,99,A,"Keyword: Minimize number of queries to database
Shared memcache is similar to spot vms in the fact that your cached results may be evicted 
Dedicated ensures that does not happen and will more consistently protect the db
Cache is not populated from cron tasks ",2,,
Topic 1 Qn 100,100,B,"B creates a resilient distributed task execution pipeline with no single points of failure.
Not A and C - don't publish messages ""directly"" to your worker virtual machines in case they crash.
Not D as cronjob for GKE is meant for workloads within the cluster boundary. should use cloud scheduler.",2,,
Topic 1 Qn 101,101,B,"A is incorrect as gsutil -m does not circumvent physical bandwith limits
C and D is incorrect as using public internet limits bandwith to 100MB
B is correct as Dedicated Interconnect or Direct Peering connection provide high-bandwith connections",2,,
Topic 1 Qn 102,102,B,"cloud pub/sub alone guarantees at least once delivery, meaning it might sometimes deliver duplicate messages. 
cloud dataflow (stream processor) is needed to provide exactly once processing semantics. 
stack driver - monitoring, logging and diagnostics and not data processing. 
Cloud SQL - database service and not stream processor.",2,,
Topic 1 Qn 103,103,C,"To perform lift n shift, we have to assess our resources, then plan and migrate using runbook.
Not A: migrating individually might break some dependencies
Not B: very manual and inefficient
Not D: we shouldn’t use 3rd party tools
",3,,
Topic 1 Qn 104,104,D,"Reason: use unmanaged instance groups since they want full control and no horizontal scaling. Network load balancer since TCP
Not A and B:  are managed instance groups, which uses autohealing which sems like horizontal scaling
Not C: HTTP load balancer is not recommended since traffic is via TCP",3,,
Topic 1 Qn 105,105,D,"Minimise Latency, High throughput, Internal IP communication
A and C are wrong as cloud VPN uses public internet, latency is unreliable. 
B is wrong as it is used to exchange traffic at edge network, not high throughput
",3,,
Topic 1 Qn 106,106,A,"A Cloud Run can split traffic between different revisions and is designed for it. 
Reason: 
B is wrong as it creates unnecessary complexity and overhead
C is wrong as even though its meant for CICD, its not effective and quite fragile 
D is wrong as traffic director is a service mesh for cross traffic management. (an overkill)",3,,
Topic 1 Qn 107,107,A,"Not B, as there are already in-built alerting policies. Hence, no need to install alerting software.
Not C, D adding extra complexity too troublesome",3,,
Topic 1 Qn 108,108,C,"Not A - Sharding divides a large dataset into smaller chunks and spreads them across multiple servers so it enables horizontal scaling - so its related to performance tool not a back up tool
Not B - Read replicas are used to handle read-query traffic + asynchronous so can lose recent transaction
Not E - semi synchronous replication is used for high availability and not for minimizing data loss ",3,,
Topic 1 Qn 109,109,A,"B does not delete the data. C does not delete the data. D is hashing the unique identifier, not deleting the data.",3,,
Topic 1 Qn 110,110,A,"Google App Engine is a Platform-as-a-Service (PaaS). It completely hides the underlying infrastructure, offering the lowest operational overhead of all the options.",4,,
Topic 1 Qn 111,111,B,scale to zero during after office hours,4,,
Topic 1 Qn 112,112,C,"because this approach is Google cloud's standard approach for migrating live databases with minimal downtime. The reason why it is not A, is because it says that it modify the source code of the application to write both queries to both databases, and the question wants minimal modification so this is wrong. And the reason why it is not B, is because there will be data loss when you stop the application (mysqldump is taken while on-prem app is running and accepting user traffic). And the reason why its not D is because this is a lift-and-shift offline migration, which will result in downtime, and the question states that they want minimal downtime, so this is wrong.",4,,
Topic 1 Qn 113,113,D,"Enforce/Restrict across entire org = Organization Policy Constraints. Option A & B are about network design, not enforcement. Option C NAT is a networking tool and does not enforce restriction. ",4,,
Topic 1 Qn 114,114,B,there is no log info therefore you need to enable firewall rules logging. The rest will not log your firewall log,4,,
Topic 1 Qn 115,115,A,Calls for service perimeter which means using VPC Service Controls,4,,
Topic 1 Qn 116,116,D,"Opportunistic leaves current running instances untouched, Proactive actively replaces current instances",4,,
https://www.examtopics.com/exams/google/professional-cloud-architect/view/1/,,,,,Q: 117 - 191,
Topic 1 Qn 117,117,B,"B is correct:
""As quickly as possible"" 
Instance Template paired with a Regional Persistent Disk - seconds to recover
""With the latest application data""
Regional PDs perform synchronous replication across two zones.
""In another zone""
data is already physically present in the secondary zone, you simply tell Compute Engine to launch the new instance in that backup zone and mount the replicated disk.
A is incorrect: This option will fail during a zonal outrage becos it states you should restore the disk in the ""same zone.""
C is incorrect: Using a snapshot schedule means your data is only as good as the last snapshot taken. If your snapshot runs at midnight and the outage happens at 2:00 PM, you lose 14 hours of data. Also restoring a disk from a snapshot is significantly slower.
D is incorrect: It it suggests spinning up the application in ""another region."" Regional Persistent Disks only replicate across two zones within the SAME REGION.",1,,
Topic 1 Qn 118,118,B,"DEBATE TIME, most people in examtopics think its A, we chose B because of the NAT layer",1,,
Topic 1 Qn 119,119,B,"Communtiy is torn between A or B, but we chose B",1,,
Topic 1 Qn 120,120,B,"C and D is wrong because peering is non-transitive. A is wrong because it is incomplete as router only handles routing with BGP, still need the connection first",1,,
Topic 1 Qn 121,121,B,B is the most streamlined way to update your instance,1,,
Topic 1 Qn 122,122,A,"B & D involve creating new things, which is not what minimal disruption wants C has a third party solution, so it's left with A",1,,
Topic 1 Qn 123,123,C,"Question states that read and write to the same POSIX filesystem is a requirement.
Options A, B & D do not support POSIX.",2,,
Topic 1 Qn 124,124,A,answer is a. asm is specifically designed to manage and monitor microservice architectures which includes latency traffic and errors. b & c are wrong because acm is used to enforce policies and security rules and does not provide real time monitoring services. d is highly disruptive as its istio has already been configured in the asm and would likely break the environment,2,,
Topic 1 Qn 125,125,A,"A - Keyword: No deletion or overwriting for 5 years
B,D still allows the service account to delete or overwrite the file with the given role
C secures the data's confidentiality but not its immutability
A is the only one that manages the retention period and prevents modification",2,,
Topic 1 Qn 126,126,C,"C - automated build and test pipeline that prevents configuration bypasses
Not A and B - Relying on developers to execute manual commands 
Not D  - vulnerability scanning is for security ",2,,
Topic 1 Qn 127,127,D,"A is incorrect as bottleneck stated as CPU not memory
B and C are incorrect as restarting will cause more dropped request and will just be hit by same heavy load again after restart
D is correct as it addresses the bottleneck immediately. Increasing maximum = distribute load ",2,,
Topic 1 Qn 128,128,B,"cloud run - scales down to zero and automatically handles traffic spikes 
Compute engine auto scaling - not practical as you need to leave 1 or more instances running to handle load balancer, health checks etc 
500k requests per second hence, cloud bigtable as it is a noSQL wide column database that handles lots of read/writes per second 
big query is designed for analytical queries not real time lookups.",2,,
